ID,Name,Review,Instagram,Netflix,Prime,Year,Director,Lead,Acting,Story,Execution,Profundity,Overall,Poster,Genre1,Genre2,Trailer
21,Shoplifters,"Family is a troublesome concept to define . It is one of those terms which could , depending on your day , be an entity , a security or just a sense of compassionate belonging with someone . Hirokazu Koreeda's Palme d'Or winning Japanese ""family"" drama continuously asks this question and in twisted but inherently human fashion , in the final quarter of the film puts forward its own take on those philosophical questions . Through candidly beautiful cinematography , Shoplifters tells its simple yet cathartic story , showing us around lives of chaos albeit through the lens of calmness , never getting heavy for any kind of viewer . Either you need a light hearted movie to unburden your head , or a deeply metaphysical exploration of something we can all relate to , this is a must-watch movie depending on how you decide to watch it .",1,1,0,2018,Hirokazu Koreeda,"Lily Frankie , Sakura Ando",3.7,3.8,3.8,4.6,3.97,shoplifters.jpg,Lighthearted,International,https://www.youtube.com/watch?v=9382rwoMiRc&ab_channel=MagnoliaPictures%26MagnetReleasing
22,"Three Billboards outside Ebbing, Missouri","Humans deal with death in quite a unique way as it is always a blend of anger, grief and feeling astray. No movie portrays this emotion as powerfully and in it's purest form by Three Billboards. A mom is out for justice for her daughter who was brutally raped and left for dead. Based on a true story, it shows complex character dynamics as the protagonist walks the thin line between retribution and precise justice. Now, let me warn you, this movie does not provide closure, so you fill a bit wanting at the end. But the amazing acting, and the cathartic changes that affect every character provides a lot of depth to fulfill this gap. Believe me, this is a movie which you don not want to miss out on to.",1,0,0,2017,Martin McDonagh,Frances McDormand,4.2,3.4,2.7,3.5,3.45,3 billboards.jpg,Drama,True Story,https://www.youtube.com/watch?v=Jit3YhGx5pU
23,Trainspotting,"When you mix requime for a dream with the hangover, this is what you get. A tale of drug driven guy from Endinburgh starting form his brutal addiction to a road to salvation. Fantastic background score coupled with tremondous acting makes this one of the most iconic films of it's time. Mind you, this won't take you on a depression ride like Requime for a dream did! But the rawness with which it's portrayed makes a strong claim to be in such league. At times it seems a bit hilarious and at times even a bit hypnotic (thanks to some fabulous cinematography) but overall, it's a tour-de-force of a movie and worth giving a watch.",1,0,0,1996,Danny Boyle,Ewan McGregor,3.9,2.3,3.7,2.8,3.17,trainspotting.jpg,Drama,Lighthearted,https://www.youtube.com/watch?v=8LuxOYIpu-I
24,The Favourite,"Set in the 18th century England this is a scandalous tragicomedy of two woman fighting tooth and nail to acertain their noteworthiness to the Queen. The template might seem a bit uncommon what differentiates it from the rest is the beautiful use of sybolism within the movie coupled with some of the best acting you can find theese days! The film very craftfully uses wide angle scenes to give a feel of looking at a portrait rather than a movie. An excellent dramatic storyline with a bit dark, yet beautiful ending. Also, it is set chapterwise so it does give off a vibe of reading a grand novel. Simply marvelous. Reserve this for those cold and rainy tuesday nights when you feel like watching some good'ol fashioned drama.",1,0,0,2019,Yorgos Lanthimos,"Olivia Colman, Emma Stones",4.6,3.5,3.8,3.4,3.82,the favourite.png,Drama,Meta,https://www.youtube.com/watch?v=SYb-wkehT1g&ab_channel=SearchlightPictures
25,Spotlight,"A true story based on the efforts led by The Boston Global reporters to uncover the staggering amount of child molestation taking place at the local boston Catholic Archdiocese inturn shaking the entire Catholic Church to its core. Usualy, it's quite difficult to review a biography as there are a very few elemets to work with.In this case - the acting? Phenomenal. Story? Gripping. That's it. There's no stylistic elemnts associated with it. But Spotlight forces you to think otherwise. The intensity with which everything is shown is allows one to truly connect with the movie. What makes this so great is that unlike other true-story-based-movies, is that it does not manipulate the script in any manner to make it more appealing to the general population. Rather the rawness and directness is what makes this so good to watch. So if you feel like watching a movie about initiated people against a poweful organisation, this should top your list.",1,0,0,2015,Tom McCarthy,"Mark Ruffalo, Michael Keaton",3.9,4,2.3,2.6,3.2,spotlight.jpg,Drama,True Story,https://www.youtube.com/watch?v=EwdCIpbTN5g
26,The Departed,"""May his soul and the soul of all the faithful departed, by the mercy of God, rest in peace..."" Scorsese's movies have always revolved around the embracement of silence as a cinematic tool and have a haphazard yet synchronised fluctuation between periods of intense and those of lull. But this movie achieves far more in the sense of the plot being so simple yet complex and intricate that'll have the audience on the edge of their seats at all time, and we have a stellar star studded cast to top it off as well. A must watch for all the Nicholsan fans out there..
Amen.",1,1,0,2006,Martin Scorsese,"Leonardo DiCaprio, Matt Damon",4,4.2,4.2,3,3.85,departed.jpg,Thriller,Crime,https://www.youtube.com/watch?v=iojhqm0JTW4
27,Dr. Strangelove,"Cold War was a period of madness . It was a period of misplaced rage , compulsive hatred and unending paranoia and this 90 minute feature film portrays it as good as any history textbooks can . Stanley Kubrick's Dr strangelove is black and white in illustration yet as colorful as they come in its storytelling and is his funniest and most satirical , and one of his absolute best . Kubrick continues to be a director with movies thst are hard to classify under a single ""genre"" tag . Dr strangelove is not your typical satire movie either. It will psych you in on its false sense of seriousness in the beginning , eventually melting away the layers , revealing the bone tingling acid-trip of the satire underneath , just to pull a rug from under your feet in the end , forcing you to think what exactly was it that you saw . If you do not consider watching a black and white movie for 1.5 hrs as a waste of your time , this movie will make you laugh and also make you think . On second thoughts , even if you do , watch it and decide for yourself .",1,0,0,1964,Stanley Kubrick,"Peter Sellers , George C. Scott",4.2,4.2,4.1,3,3.87,strangelove.jpg,Comedy,Drama,https://www.youtube.com/watch?v=jPU1AYTxwg4
28,The Grand Budapest Hotel,"Set in the turbulent times of early 20th century in the make-believe Republic of Zubrowka features the tintin-esque story of a concierge M. Gustave and his protege Zero who have been falsely accused of murder. It's a simple concept, nothing too extravagent. But what makes this such a breathtaking movie is that it does not have a story; rather has a fairy tale! Wes Anderson has purposefully directed it in a square frame with zero use of CGI to make it as fantastical as possible. Each frame looks like something out of a painter's canvas and this attributes to such a fresh breather to what we are usually accustomed to see! If you aren't impressed by the eye-candy of cinematography or the impeccable setting or the magnificent background score, fret not! This movie is all about the mockery of the tyrannous rule of the Czars of eastern Europe in turn portraying it's horror as mischievous and frivolous charm (sometimes almost child-like!) for which you would long to come back for more.",1,0,0,2014,Wes Anderson,"Ralph Finnes, Tony Revolori",2.5,3.7,4.7,3.2,3.52,grand budapest.jpg,Comedy,Fantasy,https://www.youtube.com/watch?v=1Fg5iWmQjwk
29,The Truman Show,This movie looks like an episode of Black Mirror which has been diluted to the level of Forrest Gump and add a dash of the Matrix to it! Maybe not that much but you get the gist! It literally revolves around the life of Truman Burbank who unbeknown to him is actually a movie set. It is an incredible concept and the camera angles are very skilfully adjusted to continue to give us the feel of watching a TV show while at the same time look at this made-up world from a first person perspective. Jim Carrey plays his role to perfection - a sweet and a lovable guy with a bit of a loose screw. The storyline isn't much of a tangle but do give it a watch for it will surely amaze you at how perfectly good it has been executed.,1,1,0,1998,Peter Weir,"Jim Carrey, Ed Harris",2.3,3.7,3.4,2.2,2.9,truman show.jpg,Lighthearted,Sci-Fi,https://www.youtube.com/watch?v=dlnmQbPGuls
30,The Green Book,"The 2018 Academy award winner is based on the true story of Dr. Don Shirley and his driver Frank who traverse the southern parts of the USA in 1962, at a time when blacks were treated as inferior beings. It showcases the hardships that Dr. Shirley had to undergo and the cathartic journey of Frank - from a racist bigot to a culurally refined man. I felt the cathartic journey was rushed upon, but apart from that, is a fabulous movie. There's nothing defining about this movie and may have often gone past the eye unnoticed. But the warm christmas-y feel that this one induces is unlike no other. A very light hearted movie which strikes close to the heart. If you're feeling down or feeling lonely, then this is the antidote for you.",1,0,0,2018,Peter Farrelly,"Mahershala Ali, Viggo Mortensen",2.8,3.4,2.6,3.5,3,green.jpg,Drama,True Story,https://www.youtube.com/watch?v=uC-_Gon2p9M
31,American Beauty,"This is a story about a suburban american family whose dad is a 'chronic looser'; a sentiment which both his wife and daughter share. The movie showcases his yearning for youth, power, respect and of course beauty which is actuated by his daughter's 17 year old best friend; who he lusts for. Note this is in no way a Lolita-esque senario but rather of how a man having such a low self esteem and hatered for himself starts dreaming again and gets free form years of emotional paralysis. It plays with conundrum of a man having impure thoughts even tho he knows are morally wrong and yet can't help it as he's been wired like that. The script is well written and the climax takes quite a turn. Overall, a nice watch.",1,0,1,1999,Sam Mendes,"Kevin Spacey, Mena Suvari",3.7,3.3,1.7,3.5,3.1,american beauty.jpg,Drama,Lighthearted,https://www.youtube.com/watch?v=Ly7rq5EsTC8
32,The Big Lebowski,The most chill movie amongst all I've ever revied here! It is about Jeff 'The Dude' Lebowski who gets mistaken for a billionaire with the same name and seeks restitution for his stolen rug. It gives you a foray into how the Coen Brothers direct thier movies - a laid back chill attitude with a sparkle of hillariousness here and there. There's a bit of mystery element and is laid with wonderfully funny sequences. It's 2 hours of pure joy after which you can't help but love 'The Dude' and his pals. It feels quite refreshing to watch this one while at the same time gives an insight into the wonderful execution of the Coen brothers which I'll leave it up to you to see for yourself.,1,1,0,1998,Coen Brothers,"Jeff Bridges, John Goodman",2.9,2.9,3.4,1.4,2.65,lebowski.jpg,Comedy,Crime,https://www.youtube.com/watch?v=cd-go0oBF4Y
